"","colnames.base_estacionaria.","tipo","test"
"32","Taxa.de.câmbio...efetiva.real...IPA.OG.IT...exportações...semimanufaturados...índice.média.2010.100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXSM12",0,1
"33","Taxa.de.câmbio...efetiva.real...IPA.Ponderado...exportações...básicos...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXB12",0,1
"34","Taxa.de.câmbio...efetiva.real...preparação.e.fabricaçao.de.artigos.de.couro.e.calçados.média2010.100.......Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS1512",0,1
"35","Taxa.de.câmbio...efetiva.real...metalurgia..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS2412",0,1
"36","Câmbio.contratado...comercial...importação...média.diária...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_MCCM12",0,1
"37","Câmbio.contratado...comercial...média.diária...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_SBCCCM12",1,0
"38","Câmbio.contratado...comercial.e.financeiro...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_SGCC12",1,0
"39","Câmbio.contratado...comercial...exportação...média.diária...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_XCCM12",0,1
"40","Câmbio.contratado...comercial...exportação...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_XCC12",0,1
"41","Câmbio.contratado...comercial...importação...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_MCC12",0,1
"42","Câmbio.contratado...comercial...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_SBCCC12",1,0
"43","Câmbio.contratado...financeiro...compra...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_CFCC12",0,1
"44","Câmbio.contratado...financeiro...venda...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_VFCC12",0,1
"45","Câmbio.contratado...financeiro...US....Banco.Central.do.Brasil..Boletim..Seção.Balanço.de.Pagamentos..Bacen...Boletim...BP....BM12_SFCC12",1,0
"46","Taxa.de.câmbio...efetiva.real...agricultura..pecuária.e.serviços.relacionados..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS112",0,1
"47","Taxa.de.câmbio...efetiva.real...extração.de.petróleo.e.gás.natural...média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS612",0,1
"48","Taxa.de.câmbio...efetiva.real...extração.de.minerais.metálicos..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS712",0,1
"49","Taxa.de.câmbio...efetiva.real...extração.de.minerais.não.metálicos..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS812",0,1
"50","Taxa.de.câmbio...efetiva.real...fabricação.de.bebidas..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS1112",0,1
"51","Taxa.de.câmbio...efetiva.real...confecção.de.artigos.do.vestuário.e.acessórios..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS1412",0,1
"52","Taxa.de.câmbio...efetiva.real...fabricação.de.celulose..papel.e.produtos.de.papel..média.2010..100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS1712",0,1
"53","Taxa.de.câmbio...efetiva.real...fabricação.de.coque.deriv.do.petróleo.e.biocombustível.média2010.100.......Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERXTS1912",0,1
"54","Taxa.de.paridade.do.poder.de.compra..PPC....consumo.das.famílias.......Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_PPCTAXAC12",0,1
