Período,CHLLOLITOAASTSAM,CHLLOLITOTRGYSAM,CHLLOLITONOSTSAM,CHNLOLITOAASTSAM,CHNLOLITONOSTSAM,CHNLOLITOTRGYSAM,OECDLOLITOAASTSAM,OECDLOLITOTRGYSAM,OECDLOLITONOSTSAM,CPIAUCSL,UNRATE,FEDFUNDS,USSLIND,USALOLITOAASTSAM,USALOLITONOSTSAM,USALOLITOTRGYSAM,EA19LOLITOAASTSAM,EA19LOLITONOSTSAM,EA19LOLITOTRGYSAM,RUSLOLITOAASTSAM,RUSLOLITOTRGYSAM,RUSLOLITONOSTSAM,ICC_ARGENTINA,ind.sint.act.construcion_argentina,reservas_internacionais_argentina,saldo_bcc_arg,ipc_peru,reservas_internacionais_peru,saldo_bcc_peru,desemprego_peru
11/2003,98.98116,5.630791,99.20725,101.2256,101.1702,15.95901,100.1123,3.896093,100.0654,185,5.8,1,1.53,100.2938,100.277,5.225783,99.66151,99.60436,2.607493,99.84316357,8.477342964,99.91368774,49.32,93.83,13483,16374,84.34,10.3,0.77,9.41
12/2003,99.24978,5.497805,99.41626,101.2563,101.1996,15.8506,100.2973,4.191559,100.239,185.5,5.7,0.98,1.78,100.6007,100.5678,5.649099,99.76968,99.7185,2.817209,99.90494415,8.456964832,99.94651924,50.18,91.27,14119,16088,84.82,10.19,0.89,9.74
1/2004,99.60842,5.591788,99.69532,101.2426,101.1865,15.73669,100.4329,4.432285,100.3687,186.3,5.7,1,1.51,100.8318,100.7868,5.963948,99.8418,99.79707,2.978795,99.95823084,8.405094879,99.97483691,57.73,95.42,14920,15406,85.27,10.56,1.09,11.12
2/2004,100.0182,5.848442,100.0142,101.1891,101.1352,15.61271,100.5161,4.597693,100.4513,186.7,5.6,1.01,1.47,100.9695,100.9172,6.139309,99.89217,99.85354,3.102393,99.9882586,8.325890932,99.99079429,59.83,98.59,15003,15086,86.2,10.5,1.26,10.58
3/2004,100.4041,6.198472,100.3145,101.0744,101.0254,15.43451,100.556,4.663348,100.4949,187.1,5.8,1,1.61,101.0333,100.9777,6.161318,99.92717,99.89412,3.181823,99.9809361,8.218062299,99.98690296,56.72,107.87,15003,14736,86.6,10.41,1.56,10.22
4/2004,100.7359,6.603529,100.5726,100.9087,100.8667,15.23057,100.5622,4.61181,100.5069,187.4,5.6,1,1.64,101.0352,100.9794,6.014408,99.95453,99.92662,3.20563,99.92816312,8.051637284,99.95885829,49.96,95,15763,14776,86.58,10.47,1.66,10.69
5/2004,101.0292,7.003435,100.8008,100.7307,100.6963,15.05444,100.5444,4.460743,100.4957,188.2,5.6,1,1.8,100.9946,100.941,5.728346,99.9764,99.95439,3.171374,99.85350089,7.838915293,99.91918121,51.02,97.84,16705,14340,86.88,10.82,1.75,9.09
6/2004,101.3061,7.427088,101.0163,100.5976,100.5688,14.94537,100.5099,4.229516,100.4684,188.9,5.6,1.03,1.53,100.9211,100.8714,5.343659,99.99606,99.98119,3.079946,99.77522906,7.611617711,99.87758591,50.82,100.16,17443,13526,87.37,10.86,1.77,8.61
7/2004,101.5614,7.857434,101.2149,100.5165,100.4912,14.89774,100.4634,3.938952,100.4287,189.1,5.5,1.26,1.57,100.8198,100.7753,4.881598,100.0152,100.0086,2.943904,99.70825752,7.405867138,99.84199583,49.09,97.67,18068,13014,87.54,11.06,2.05,8.08
8/2004,101.7473,8.193924,101.3596,100.475,100.4514,14.88063,100.4115,3.615483,100.3826,189.2,5.4,1.43,1.47,100.7057,100.6673,4.369918,100.0335,100.0354,2.776919,99.65163074,7.226229207,99.81190317,46.68,95.82,18076,12715,87.53,10.96,2.19,9.46
