Período,CHLLOLITOAASTSAM,CHLLOLITOTRGYSAM,CHLLOLITONOSTSAM,CHNLOLITOAASTSAM,CHNLOLITONOSTSAM,CHNLOLITOTRGYSAM,OECDLOLITOAASTSAM,OECDLOLITOTRGYSAM,OECDLOLITONOSTSAM,CPIAUCSL,UNRATE,FEDFUNDS,USSLIND,USALOLITOAASTSAM,USALOLITONOSTSAM,USALOLITOTRGYSAM,EA19LOLITOAASTSAM,EA19LOLITONOSTSAM,EA19LOLITOTRGYSAM,RUSLOLITOAASTSAM,RUSLOLITOTRGYSAM,RUSLOLITONOSTSAM,ICC_ARGENTINA,ind.sint.act.construcion_argentina,reservas_internacionais_argentina,saldo_bcc_arg,ipc_peru,reservas_internacionais_peru,saldo_bcc_peru,desemprego_peru
5/2016,98.85218,1.420878,99.1069,99.85484,99.85751,6.433981,99.58575,1.574479,99.62668,239.44,4.8,0.37,1.43,99.04971,99.09845,1.170053,100.0279,100.0337,1.50098,98.7663196,0.3162834729,99.34143022,42.66,168.24,30171,-1893,123.45,60.62,-1.32,7.58
6/2016,98.73444,1.558816,99.01529,99.95904,99.95729,6.551707,99.60295,1.659284,99.63646,240.144,4.9,0.38,1.45,99.05263,99.10122,1.305208,100.002,100.0062,1.474145,99.02440743,0.6840252719,99.47858352,42.57,159.51,30507,-1973,123.62,59.56,-1.41,6.73
7/2016,98.63607,1.778468,98.93875,100.0693,100.0628,6.728019,99.63792,1.77676,99.66312,240.111,4.8,0.39,1.5,99.07051,99.11816,1.487675,100.0027,100.0038,1.474808,99.26403424,1.103960332,99.60592624,45.61,163.02,32511,-1457,123.72,61.09,-0.53,7.04
8/2016,98.58354,1.969529,98.89787,100.1725,100.1617,6.921337,99.69507,1.923514,99.71038,240.595,4.9,0.4,1.54,99.11352,99.1589,1.7187,100.0296,100.028,1.500714,99.49303819,1.554488221,99.72762375,42.6,172.9,31150,-398,124.16,61.68,-0.33,6.71
9/2016,98.56116,2.039153,98.88046,100.266,100.2512,7.092472,99.778,2.087297,99.78222,241.068,5,0.4,1.36,99.19478,99.23589,1.984585,100.0838,100.0813,1.551508,99.71771431,2.007114847,99.84702137,43.29,170.52,29902,235,124.42,61.58,0.14,5.74
10/2016,98.51574,1.972937,98.84512,100.3549,100.3364,7.223316,99.8801,2.257186,99.87392,241.641,4.9,0.4,1.27,99.31316,99.34804,2.257042,100.1558,100.1538,1.626044,99.93987915,2.446930584,99.96508444,46.04,161.24,37210,214,124.93,62.01,0.51,6.12
11/2016,98.43481,1.78566,98.78216,100.4462,100.4238,7.316206,99.99365,2.437405,99.97804,241.993,4.7,0.41,1.7,99.46076,99.48787,2.536661,100.2327,100.2328,1.724274,100.1509955,2.854010028,100.0772761,43.93,168.27,37378,1029,125.3,61.36,1.15,5.66
12/2016,98.29247,1.497275,98.6714,100.5221,100.4965,7.368894,100.1029,2.61666,100.0806,242.712,4.7,0.54,1.62,99.61336,99.63243,2.807377,100.3118,100.3141,1.850511,100.341277,3.191645123,100.1783957,44.48,173.61,38772,2059,125.72,61.69,1.95,7.01
1/2017,98.12133,1.167057,98.53823,100.5877,100.5593,7.389924,100.1926,2.777106,100.1648,243.717,4.7,0.65,1.73,99.73594,99.74856,3.031858,100.3873,100.3911,1.998977,100.4772618,3.384711615,100.2506609,44.47,176.42,46887,2248,126.01,62.57,2.79,8.92
2/2017,98.0158,0.962903,98.45612,100.6642,100.6326,7.390467,100.2626,2.911947,100.2284,244.028,4.6,0.66,1.58,99.81714,99.82549,3.188689,100.4605,100.4641,2.164415,100.5450739,3.392882368,100.2866976,40.68,172.23,50608,1985,126.42,62.29,3.66,7.25
3/2017,98.11725,1.078979,98.53507,100.7566,100.721,7.371594,100.319,3.01214,100.2773,243.721,4.4,0.79,1.73,99.86115,99.86718,3.272884,100.5351,100.5377,2.332708,100.5531794,3.234252423,100.2910051,40.95,185.98,50522,1209,128.07,62.49,3.76,6.99
4/2017,98.49229,1.554647,98.82687,100.8505,100.811,7.345912,100.3698,3.083989,100.3194,244.058,4.4,0.9,1.59,99.88291,99.8878,3.312214,100.6177,100.6196,2.496832,100.5229543,2.973988143,100.2749428,46.19,181.41,48217,785,127.74,63,3.86,6.2
5/2017,99.03432,2.226488,99.24862,100.9382,100.8949,7.305622,100.424,3.139982,100.3625,243.926,4.4,0.91,1.42,99.90461,99.90835,3.339945,100.7105,100.7117,2.653047,100.4775667,2.677749431,100.2508229,45.76,185.22,46146,-296,127.2,63.41,4.13,6.6
6/2017,99.6374,2.961392,99.71787,100.9953,100.9496,7.224868,100.4845,3.184368,100.4104,244.179,4.3,1.04,1.52,99.93653,99.93859,3.373715,100.8151,100.8149,2.794583,100.4499727,2.407669636,100.2361589,42.04,192.8,47995,-1302,127,62.6,5.1,7.96
7/2017,100.2544,3.692515,100.1979,100.9977,100.952,7.081015,100.5501,3.215222,100.463,244.328,4.3,1.15,1.43,99.97963,99.97942,3.403394,100.9252,100.923,2.913396,100.4721359,2.20857352,100.2479369,42.48,195.93,47014,-2331,127.25,63.05,4.74,6.59
8/2017,100.8222,4.32608,100.6398,100.9354,100.8923,6.877416,100.621,3.228071,100.5233,245.304,4.4,1.16,1.39,100.0526,100.0485,3.437656,101.0311,101.0271,2.99986,100.5502899,2.07804646,100.2894696,47.61,196.83,48877,-3973,128.1,62.01,5.18,5.48
9/2017,101.2853,4.820053,101.0001,100.8045,100.7669,6.613045,100.6873,3.209191,100.5835,246.445,4.2,1.15,1.2,100.1466,100.1376,3.453617,101.1255,101.1211,3.045434,100.6724519,1.996929785,100.354389,51.04,196.67,50237,-4979,128.08,64.36,6.17,7.21
10/2017,101.6648,5.252422,101.2954,100.6269,100.5968,6.305633,100.743,3.159129,100.6375,246.57,4.1,1.15,1.59,100.249,100.2346,3.439435,101.1981,101.1946,3.049362,100.82205,1.94620597,100.4338886,51.11,202.99,51810,-5860,127.48,63.56,6.17,5.93
11/2017,101.9706,5.647008,101.5333,100.4289,100.4072,5.975813,100.7809,3.078851,100.6773,247.333,4.2,1.16,1.45,100.349,100.3293,3.392338,101.2397,101.2378,3.015778,100.985721,1.920801421,100.5208668,51.1,207.95,54563,-7468,127.23,62.98,6.42,6.53
12/2017,102.2272,6.057272,101.7329,100.2131,100.2006,5.644821,100.798,2.981506,100.699,247.847,4.1,1.3,1.48,100.4495,100.4246,3.340577,101.2426,101.2421,2.939768,101.1419742,1.908760753,100.603903,43.18,206.76,55055,-8309,127.43,63.62,6.57,6.86
